D:\Users\MathAngel\anaconda3\python.exe E:\Lab\base-T5-G8\base-ce.py 
training on  cuda
epoch 87, loss 0.0178, train acc 0.998, test_id acc 0.661, test_ood acc 0.313, time 20.5 sec
epoch 88, loss 0.0159, train acc 0.999, test_id acc 0.751, test_ood acc 0.458, time 20.4 sec
epoch 89, loss 0.0186, train acc 0.998, test_id acc 0.676, test_ood acc 0.431, time 20.4 sec
epoch 90, loss 0.0741, train acc 0.982, test_id acc 0.369, test_ood acc 0.241, time 20.5 sec
epoch 91, loss 0.3204, train acc 0.895, test_id acc 0.550, test_ood acc 0.356, time 20.5 sec
epoch 92, loss 0.1850, train acc 0.946, test_id acc 0.715, test_ood acc 0.449, time 20.5 sec
epoch 93, loss 0.1050, train acc 0.971, test_id acc 0.698, test_ood acc 0.412, time 20.5 sec
epoch 94, loss 0.0589, train acc 0.988, test_id acc 0.616, test_ood acc 0.386, time 20.5 sec
epoch 95, loss 0.0291, train acc 0.996, test_id acc 0.760, test_ood acc 0.474, time 20.4 sec
epoch 96, loss 0.0161, train acc 0.998, test_id acc 0.725, test_ood acc 0.446, time 20.6 sec
epoch 97, loss 0.0170, train acc 0.999, test_id acc 0.720, test_ood acc 0.499, time 20.5 sec
epoch 98, loss 0.0109, train acc 1.000, test_id acc 0.766, test_ood acc 0.559, time 20.4 sec
epoch 99, loss 0.0095, train acc 1.000, test_id acc 0.785, test_ood acc 0.561, time 20.4 sec
epoch 100, loss 0.0096, train acc 1.000, test_id acc 0.786, test_ood acc 0.559, time 20.4 sec
epoch 101, loss 0.0103, train acc 1.000, test_id acc 0.786, test_ood acc 0.559, time 20.5 sec
epoch 102, loss 0.0109, train acc 1.000, test_id acc 0.787, test_ood acc 0.563, time 20.5 sec
epoch 103, loss 0.0113, train acc 1.000, test_id acc 0.783, test_ood acc 0.565, time 20.4 sec
epoch 104, loss 0.0116, train acc 1.000, test_id acc 0.782, test_ood acc 0.559, time 20.4 sec
epoch 105, loss 0.0117, train acc 1.000, test_id acc 0.781, test_ood acc 0.565, time 20.5 sec
epoch 106, loss 0.0118, train acc 1.000, test_id acc 0.779, test_ood acc 0.568, time 20.6 sec
epoch 107, loss 0.0119, train acc 1.000, test_id acc 0.781, test_ood acc 0.571, time 20.5 sec
epoch 108, loss 0.0119, train acc 1.000, test_id acc 0.781, test_ood acc 0.575, time 20.5 sec
epoch 109, loss 0.0119, train acc 1.000, test_id acc 0.781, test_ood acc 0.573, time 20.4 sec
epoch 110, loss 0.0119, train acc 1.000, test_id acc 0.782, test_ood acc 0.575, time 20.5 sec
epoch 111, loss 0.0119, train acc 1.000, test_id acc 0.782, test_ood acc 0.576, time 20.5 sec
epoch 112, loss 0.0119, train acc 1.000, test_id acc 0.781, test_ood acc 0.586, time 20.4 sec
epoch 113, loss 0.0119, train acc 1.000, test_id acc 0.778, test_ood acc 0.581, time 20.4 sec
epoch 114, loss 0.0119, train acc 1.000, test_id acc 0.777, test_ood acc 0.575, time 20.5 sec
epoch 115, loss 0.0119, train acc 1.000, test_id acc 0.777, test_ood acc 0.577, time 20.4 sec
epoch 116, loss 0.0119, train acc 1.000, test_id acc 0.781, test_ood acc 0.578, time 20.4 sec
epoch 117, loss 0.0118, train acc 1.000, test_id acc 0.775, test_ood acc 0.575, time 20.5 sec
epoch 118, loss 0.0118, train acc 1.000, test_id acc 0.773, test_ood acc 0.580, time 20.4 sec
epoch 119, loss 0.0118, train acc 1.000, test_id acc 0.771, test_ood acc 0.566, time 20.5 sec
epoch 120, loss 0.0118, train acc 1.000, test_id acc 0.772, test_ood acc 0.577, time 20.5 sec
epoch 121, loss 0.0118, train acc 1.000, test_id acc 0.770, test_ood acc 0.566, time 20.5 sec
epoch 122, loss 0.0118, train acc 1.000, test_id acc 0.768, test_ood acc 0.559, time 20.4 sec
epoch 123, loss 0.0118, train acc 1.000, test_id acc 0.763, test_ood acc 0.572, time 20.7 sec
epoch 124, loss 0.0118, train acc 1.000, test_id acc 0.738, test_ood acc 0.542, time 21.4 sec
epoch 125, loss 0.0119, train acc 1.000, test_id acc 0.771, test_ood acc 0.559, time 21.4 sec
epoch 126, loss 0.0119, train acc 1.000, test_id acc 0.771, test_ood acc 0.533, time 21.1 sec
epoch 127, loss 0.0120, train acc 1.000, test_id acc 0.744, test_ood acc 0.505, time 21.1 sec
